Original;Translated
graphs.prethreshold.short;Пороговое значение эпидемии
graphs.sensitivity;Чувствительность
graphs.specificity;Специфичность
graphs.start;Начало
graphs.startcentering;Начало периода центрирования
graphs.startlower;Начало (нижняя граница)
graphs.startupper;Начало (верхняя граница)
graphs.totalseasons;Все сезоны
graphs.upperinterval;Верхний интервал
graphs.upperlimit;Верхняя граница
graphs.value;Значение
graphs.veryhighlevel;Очень высокий уровень
graphs.veryhighthreshold;Очень высокий порог
graphs.veryhighthreshold.short;Очень высокий порог
graphs.week;Неделя
graphs.weeklydata;Еженедельные данные
graphs.yes;Да
graphs.youden;Индекс Юдена
main.checkdescribe.data;Данные
main.checkdescribe.evolution;Эволюция
main.checkdescribe.evolution.detailed;Детализация
main.checkdescribe.evolution.duration;Продолжительность
main.checkdescribe.evolution.epidemicperc;Эпидемический %
main.checkdescribe.evolution.scheme;Схема
main.checkdescribe.evolution.start;Начало
main.checkdescribe.evolution.thresholds;Thresholds
main.checkdescribe.file;Файл
main.checkdescribe.goodness;Согласованность
main.checkdescribe.goodness.description;Описание
main.checkdescribe.goodness.detailed;Детализация
main.checkdescribe.goodness.detailed.peak;Пик
main.checkdescribe.goodness.detailed.peakweek;Неделя пика
main.checkdescribe.goodness.graphs;Графики
main.checkdescribe.goodness.indicators;Индикаторы
main.checkdescribe.goodness.intensity;Интенсивность
main.checkdescribe.goodness.level;Уровень
main.checkdescribe.goodness.summary;Резюме
main.checkdescribe.hint;Проверка серий данных, сроков и описания данных
main.checkdescribe.label;Проверка и описание
main.checkdescribe.seasons;Seasons
main.checkdescribe.series;Серии
main.checkdescribe.stability;Стабильность
main.checkdescribe.timing;Timing
main.checkdescribe.timing.map;Кривая MAP
main.checkdescribe.timing.slope;Угол наклона кривой
main.model.goodness.graphs;Графики
main.model.hint;Резюме, графики, согласованность и оптимизация модели MEM
main.model.label;Model
main.model.mem;MEM
main.model.mem.detailed;Детализация
main.model.mem.estimators;Оценки
main.model.mem.graphs;Графики
main.model.mem.graphs.average;Средняя кривая
main.model.mem.graphs.moving;Движущаяся эпидемия
main.model.optimize;Оптимизировать
main.model.optimize.automatic;Автоматически
main.model.optimize.automatic.currentparam;Текущий параметр
main.model.optimize.automatic.optimumparam;Оптимальный параметр
main.model.optimize.automatic.parameter;Параметр
main.model.optimize.detailed;Детализация
main.model.optimize.graphs;Графики
main.model.optimize.manual;Вручную
main.model.optimize.manual.clicks;Нажатия
main.model.optimize.manual.results;Результаты
main.model.optimize.manual.startend;Начало и окончание
main.procedures;Процедуры
main.surveillance.hint;Инструменты наблюдения
main.surveillance.label;Наблюдение
main.surveillance.surveillance;Наблюдение
main.surveillance.surveillance.animated;Анимация
main.surveillance.surveillance.average;Среднее
main.surveillance.surveillance.week;Неделя
main.visualize.hint;Визуализировать различные наборы данных с использованием модели MEM
main.visualize.label;Visualize
options.graphs;Опции графика
options.graphs.epidemicend.hint;Цвет маркера точки окончания эпидемии
options.graphs.epidemicend.label;Окончание эпидемии
options.graphs.epidemicstart.hint;Цвет маркера точки начала эпидемии
options.graphs.epidemicstart.label;Начало эпидемии
options.graphs.levelspalette.hint;Палитра, используемая при создании цвета для уровней интенсивности
options.graphs.levelspalette.label;Палитра уровней
options.graphs.observedline.hint;Цвет линии для наблюдаемых данных
options.graphs.observedline.label;Наблюдаемые (линия)
options.graphs.observedpoints.hint;Цвет точек наблюдаемых данных
options.graphs.observedpoints.label;Наблюдаемые (точки)
options.graphs.reset;Сброс
options.graphs.seasonspalette.hint;Палитра, используемая для создания цветов линий серий графиков и прочих графиков с множественными линиями
options.graphs.seasonspalette.label;Палитра сезонов
options.graphs.thresholdspalette.hint;Палитра, используемая при создании цвета для порога эпидемии и порога интенсивности
options.graphs.thresholdspalette.label;Палитра порогов
options.graphs.timingpalette.hint;Палитра, используемая для создания цветов маркеров точек предэпидемических, эпидемических и постэпидемических во временных графиках
options.graphs.timingpalette.label;Палитра сроков
options.graphs.yaxis0.hint;Обеспечить начало оси y на уровне 0 для всех графиков
options.graphs.yaxis0.label;Ось y начинается на уровне 0
options.language.hint;Изменение языка приложения
options.language.label;Язык
options.mem;Опции MEM
options.mem.goodness;Согласованность и оптимизация
options.mem.goodness.optimization.aditive;Наполнитель
options.mem.goodness.optimization.hint;Метод для выбора оптимального параметра
options.mem.goodness.optimization.label;Метод оптимизации
options.mem.goodness.optimization.matthews;Коэффициент корреляции Мэтьюса
options.mem.goodness.optimization.mixed;Смешанная
options.mem.goodness.optimization.multiplicative;Мультипликативный
options.mem.goodness.optimization.negative;Отрицательная вероятность
options.mem.goodness.optimization.paramrange.hint; Диапазон возможных показателей параметра угла наклона, используемых в функциях согласованности и оптимизации
options.mem.goodness.optimization.paramrange.label;Диапазон параметра
options.mem.goodness.optimization.percent;Процент согласованности
options.mem.goodness.optimization.positive;Положительная вероятность
options.mem.goodness.optimization.youden;Индекс Юдена
options.mem.goodness.validation.cross;Перекрестная:
options.mem.goodness.validation.hint;Перекрестная: исключение одного сезона, модель рассчитывают с использованием оставшихся сезонов.<br>Последовательная: исключение сезона, модель рассчитывают с использованием только предыдущих сезонов
options.mem.goodness.validation.label;Валидация
options.mem.goodness.validation.sequential;Последовательный
options.mem.other;Другие
options.mem.other.average.hint;Метод для расчета средних значений доверительных интервалов кривой
options.mem.other.averagecurve.label;ДИ для средней кривой
options.mem.other.averageotherci.hint;Уровень доверительного интервала, используемый для расчета средней кривой и других интервалов
options.mem.other.averageotherci.level;Уровень ДИ для средней кривой/других ДИ
options.mem.other.centering.1;Наибольший 1-недельный период (пик)
options.mem.other.centering.10;Наибольший 10-недельный период
options.mem.other.centering.11;Наибольший 11-недельный период
options.mem.other.centering.12;Наибольший 12-недельный период
options.mem.other.centering.13;Наибольший 13-недельный период
options.mem.other.centering.14;Наибольший 14-недельный период
options.mem.other.centering.15;Наибольший 15-недельный период
options.mem.other.centering.2;Наибольший 2-недельный период
options.mem.other.centering.3;Наибольший 3-недельный период
options.mem.other.centering.4;Наибольший 4-недельный период
options.mem.other.centering.5;Наибольший 5-недельный период
options.mem.other.centering.6;Наибольший 6-недельный период
options.mem.other.centering.7;Наибольший 7-недельный период
options.mem.other.centering.8;Наибольший 8-недельный период
options.mem.other.centering.9;Наибольший 9-недельный период
options.mem.other.centering.hint;Метод центрирования сезонов для расчета средней кривой
options.mem.other.centering.label;Центрирование сезонов
options.mem.other.centering.mean;Наибольшая средняя продолжительность периода в неделях
options.mem.other.other.hint;Метод для расчета других доверительных интервалов: продолжительности, эпидемического процентного показателя, начала эпидемии и т.д.
options.mem.other.other.label;Другие ДИ
options.mem.thresholds;Пороги
options.mem.thresholds.epidemic.arithmeticmean;Арифметическое среднее и доверительный интервал для среднего
options.mem.thresholds.epidemic.arithmeticprediction;Арифметическое среднее и точечный доверительный интервал
options.mem.thresholds.epidemic.geometricmean;Геометрическое среднее и доверительный интервал для среднего
options.mem.thresholds.epidemic.geometricprediction;Геометрическое среднее и точечный доверительный интервал
options.mem.thresholds.epidemic.hint;Метод для расчета эпидемического порога
options.mem.thresholds.epidemic.label;Эпидемический порог
options.mem.thresholds.epidemic.medianbootstrap;Медиана и доверительный интервал «бутстреп»
options.mem.thresholds.epidemic.mediannyblom;Медиана и доверительный интервал Nyblom
options.mem.thresholds.intensity.high.hint;Уровень доверительного интервала, используемый для расчета высокого порога
options.mem.thresholds.intensity.high.label;Высокий уровень
options.mem.thresholds.intensity.hint;Метод для расчета порога интенсивности
options.mem.thresholds.intensity.label;Пороговые значения интенсивности
options.mem.thresholds.intensity.medium.hint;Уровень доверительного интервала, используемый для расчета среднего порога
options.mem.thresholds.intensity.medium.label;Средний уровень
options.mem.thresholds.intensity.veryhigh.hint;Уровень доверительного интервала, используемый для расчета очень высокого порога
options.mem.thresholds.intensity.veryhigh.label;Очень высокий уровень
options.mem.thresholds.tails.label.hint;Выберите, если хотите использовать односторонние или двусторонние доверительные интервалы для пороговых значений
options.mem.thresholds.tails.label.label;«Хвосты» 
options.mem.thresholds.values.1;1/сезон
options.mem.thresholds.values.10;10/сезон
options.mem.thresholds.values.2;2/сезон
options.mem.thresholds.values.3;3/сезон
options.mem.thresholds.values.30;30 всего
options.mem.thresholds.values.4;4/сезон
options.mem.thresholds.values.5;5/сезон
options.mem.thresholds.values.6;6/сезон
options.mem.thresholds.values.7;7/сезон
options.mem.thresholds.values.8;8/сезон
options.mem.thresholds.values.9;9/сезон
options.mem.thresholds.values.all;Все
options.mem.thresholds.values.hint;Количество использованных значений в каждом сезоне для расчета пороговых значений. Если значение равно -1, то используется в общей сложности 30 точек (30/количество сезонов). Если значение равно 0, то используются все доступные точки
options.mem.thresholds.values.label;Показатели за сезон
options.mem.timing;Сроки
options.mem.timing.method.derivative;Метод второго производного
options.mem.timing.method.fixed;Метод фиксированного критерия
options.mem.timing.method.hint;<b>Оригинал</b>: использует процесс, указанный в оригинальной статье.<br><b>Фиксированный критерий</b>: использует угол наклона кривой MAP для поиска оптимального значения, представляющего собой точку, в которой угол наклона кривой ниже заранее определенного значения.<br><b>Угол наклона кривой </b>: рассчитывает угол наклона кривой MAP, однако оптимальное значение — это такое значение, которое соответствует глобальному среднему углу наклона.<br><b>Второе производное</b>: рассчитывает второе производное, показатель равен нулю для поиска точки перегиба в оригинальной кривой.
options.mem.timing.method.label;Метод для сроков
options.mem.timing.method.original;Оригинальный метод
options.mem.timing.method.slope;Метод угла наклона
options.mem.timing.slope.hint;Параметр угла наклона, используемый в методе фиксированного критерия
options.mem.timing.slope.label;Параметр угла наклона
options.support;Поддержка
options.support.advancedfeatures.hint;Показать дополнительные функции приложения memapp
options.support.experimentalfeatures.hint;Показать экспериментальные характеристики приложения memapp
options.support.experimentalfeatures.label;экспериментальные характеристики
options.support.issues;Отправить сообщение о проблемах
options.support.manual;Техническое руководство
options.text;Опции текста
options.text.main.hint;Изменение основного заголовка в большинстве графиков
options.text.main.label;Основной заголовок
options.text.xaxis.hint;Изменение маркировки оси Х в большинстве графиков
options.text.xaxis.label;Ось X
options.text.yaxis.hint;Изменение маркировки оси Y в большинстве графиков
options.text.yaxis.label;Ось Y
selections.dataset;Набор данных
selections.dataset.dataset.hint;Если формат способен хранить различные наборы данных, следует выбрать один из них, который Вы хотите открыть
selections.dataset.dataset.label;Набор данных
selections.dataset.firstweek.hint;Первая неделя периода наблюдения за наборами данных
selections.dataset.firstweek.label;Первая неделя
selections.dataset.lastweek.hint;Последняя неделя периода наблюдения в наборах данных
selections.dataset.lastweek.label;Последняя неделя
selections.dataset.processdata.hint;Отметьте эту ячейку, если Вы хотите обработать входящие данные, перестройте недели в соответствии с выбором первой/последней недели и объедините сезоны, разделенные в наборе входящих данных.
selections.dataset.processdata.label;Обработка данных
selections.dataset.transformation.fillmiss;Подстановка пропущенных данных
selections.dataset.transformation.hint;Выберите преобразование для применения к оригинальным данным
selections.dataset.transformation.label;Преобразование
selections.dataset.transformation.loess;Loess (locally estimated scatterplot smoothing, оцениваемое на местном уровне сглаживание диаграммы рассеивания)
selections.dataset.transformation.loess.positive.hint;Check this tickbox if you want to replace negative values with zeroes
selections.dataset.transformation.loess.positive.label;Positive
selections.dataset.transformation.loess.span.hint;Loess span parameter
selections.dataset.transformation.loess.span.label;Loess span
selections.dataset.transformation.no;Нет преобразования
selections.dataset.transformation.odd;Шансы
selections.dataset.transformation.smothing;Smoothing regression
selections.dataset.transformation.smothing.optimum.hint;NA
selections.dataset.transformation.smothing.optimum.label;Optimum
selections.dataset.transformation.smothing.parameter.hint;Smoothing parameter of the smoothing regression
selections.dataset.transformation.smothing.parameter.label;Smoothing parameter
selections.dataset.transformation.spline;Spline
selections.dataset.wavesdetection.hint;Выбрать количество волн в оригинальных данных или в алгоритме для разделения отдельных волн
selections.dataset.wavesdetection.label;Обнаружение волн
selections.dataset.wavesdetection.multiple;Несколько волн/серий
selections.dataset.wavesdetection.multiple.no.hint;Общее количество волн во всем наборе данных, установите их на уровне 0, если Вы хотите, чтобы программа выполняла их автоматическое обнаружение.
selections.dataset.wavesdetection.multiple.no.label;Количество волн
selections.dataset.wavesdetection.multiple.param1.hint;Параметр 1 алгоритма нескольких волн: когда решено, что частота не считается эпидемической
selections.dataset.wavesdetection.multiple.param1.label;парам. 1
selections.dataset.wavesdetection.multiple.param2.hint;Параметр 2 алгоритма нескольких волн: когда решено, что набор частот не формирует независимую эпидемическую волну
selections.dataset.wavesdetection.multiple.param2.label;парам. 2
selections.dataset.wavesdetection.multiple.separation.hint;Минимальное разделение между двумя сезонами, которое расценивается в качестве различия
selections.dataset.wavesdetection.multiple.separation.label;Разделение
selections.dataset.wavesdetection.one;Одна волна/сезон
selections.dataset.wavesdetection.twoexpected;Две волны (ожидаемые)/сезон
selections.dataset.wavesdetection.twoobserved;Две волны (отмеченные)/сезон
selections.dataset.wavesdetection.twoobserved.minimumprop.hint;Минимальная пропорция одной из волн, для того, чтобы волна считалась отличной от других, в противном случае обе волны считаются идентичными
selections.dataset.wavesdetection.twoobserved.minimumprop.label;Минимальная пропорция
selections.loadfile;Загрузить файл
selections.model;Модель
selections.model.exclude.hint;Выбрать любое количество сезонов, подлежащих исключению из модели
selections.model.exclude.label;Исключить
selections.model.from.hint;Первый сезон для включения в выбор модели
selections.model.from.label;С
selections.model.seasons.hint;Максимальное количество сезонов, подлежащее использованию в модели.<br>Обратите внимание, что данный фактор будет иметь приоритет по сравнению с остальными опциями, поскольку он ограничит данные последним выбранным числом сезонов в ячейках С/До/ Исключить.<br>Для гриппа не рекомендовано использовать более 10 сезонов
selections.model.seasons.label;Сезоны
selections.model.to.hint;Последний сезон для включения при выборе модели
selections.model.to.label;По
selections.surveillance;Наблюдение
selections.surveillance.force.hint;Выберите неделю для ускорения начала эпидемического периода.<br>Эпидемия начнется в выбранную неделю, а не в первую неделю превышения эпидемического порога
selections.surveillance.force.label;Принудительная установка начала эпидемии
selections.surveillance.season.hint;Сезон, который Вы хотите использовать для наблюдения с использованием пороговых значений MEM .<br>Этот сезон может быть неполным.<br> При выборе модели рекомендуется не использовать сезон наблюдения
selections.surveillance.season.label;Сезон
selections.surveillance.week.hint;Неделя, для которой Вы хотели бы создать график наблюдения. Это может быть любая неделя от первой недели сезона наблюдения до последней недели с наличием данных
selections.surveillance.week.label;Неделя
selections.thresholds;Thresholds
selections.thresholds.intensity.hint;Отметьте эту ячейку, если Вы хотите включить в графики пороговые значения интенсивности.<br>Это глобальная опция, которая будет работать на большинстве графиков
selections.thresholds.intensity.label;Пороги/уровни интенсивности
selections.thresholds.post.hint;Отметьте эту ячейку, если Вы хотите включить в графики постэпидемические пороги.<br>Это глобальная опция, которая будет работать на большинстве графиков
selections.thresholds.post.label;Постэпидемический порог
selections.thresholds.pre.hint;Отметьте эту ячейку, если Вы хотите включить в графики эпидемические пороги.<br>Это глобальная опция, которая будет работать на большинстве графиков
selections.thresholds.pre.label;Предэпидемический порог
selections.visualize.hint;Выбор любого количества сезонов для отображения графиков серий, сезонов и времени, а также для применения пороговых значений из текущей модели.<br>Для удаления сезона нажмите на него, после чего нажмите «удалить» на своей клавиатуре
selections.visualize.label;Визуализация
ui.calculating;Расчет продолжается. Это может занять некоторое время...
ui.columnstwo;Число столбцов должно быть больше 2
ui.log;Журнал
ui.memmodelsummary;Резюме модели MEM
ui.memneedstwo;Для MEM необходимо по крайней мере два сезона
ui.memreads;Приложение memapp может прочитать файл в форматах MSExcel(xls, xlsx), MSAccess (mdb, accdb), text (csv, dat, prn, txt), R (rds, rda, rdata), dBase (dbf), SPSS (sav), Stata (dta), SAS (sas7bdat) и OpenDocument Spreadsheet (ods)
ui.moving;Веб-приложение метода движущейся эпидемии
ui.nofile;Файл или набор данных не обнаружены
ui.nozip;Архив не обнаружен
ui.openxlsx;openxlsx не обнаружены
ui.rtools;R-инструменты не обнаружены
