Original;Translated
First season to include in the model selection;Primera temporada para incluir en el modelo
First Week;Semana inicio
First week of the datasets surveillance period;Primera semana del periodo de vigilancia
Fixed criterium method;Criterio fijo
Force epidemic start;Forzar inicio epidemia
From;Desde
Geometric mean and mean confidence interval;Media geométrica e IC de la media
Geometric mean and point confidence interval;Media geométrica e IC de los datos
Global goodness indicators;Indicadores bondad globales
Global goodness intensity;Intensidad bondad global
Global goodness summary;Resumen bondad global
Goodness;Bondad
Goodness & optimize;Bondad y optimización
Graph options;Opciones gráficas
Graphs;Gráficos
High;Alto
High int. thr.;Umb. alto
High level;Nivel alto
High lvl;Nvl alto
High thr.;Umb. alto
High threshold;Umbral alto
If the format is able to store different datasets, select the one you want to open;Si el formato de fichero que está tratando de abrir admite varias tablas de datos, seleccione la que quiere cargar
Indicator;Indicador
Indicators;Indicadores
Intensity;Intensidad
Intensity thresholds/levels;Umbrales/niveles de intensidad
Language;Idioma
Last season to include in the model selection;Última temporada para incluir en el modelo
Last Week;Semana fin
Last week of the datasets surveillance period;Última semana del periodo de vigilancia
Legend;Leyenda
level;nivel
Level;Nivel
Level of the confidence interval used to calculate the average curve and other intervals;Niveles de los intervales de confianza que se usan para calcular la curva media y otros intervalos
Level of the confidence interval used to calculate the high threshold;Nivel del intervalo de confianza usado para calcular el umbral alto
Level of the confidence interval used to calculate the medium threshold;Nivel del intervalo de confianza usado para calcular el umbral medio
Level of the confidence interval used to calculate the very high threshold;Nivel del intervalo de confianza usado para calcular el umbral muy alto
Levels palette;Paleta niveles
Load file;Abrir fichero
Loess;Loess
Low;Bajo
Low level;Nivel bajo
Lower interval;Intervalo inferior
Lower limit;Límite inferior
Main title;Título
Manual;Manual
Matthews Correlation Coefficient;Coeficiente de Correlación de Matthews
Matthews correlation coefficient;Coeficiente de correlación de Matthews
Maximum number of seasons to be used in the model.<br>Note that this will probably override the rest options, since it will restrict data to the last number of seasons from the selection already made with From/To/Exclude.<br>For influenza it is not recommended to use more than 10 seasons;Número máximo de temporadas que se incluirán en el modelo.<br>Tenga en cuenta que el limitar el número de semanas probablemente afecte al resto de opciones ya que se toman las últimas temporadas del periodo determinado por Desde/A/Excluir.<br>Para la gripe no se recomienda usar menos de 10 temporadas
Maximum seasons;Máximo temporadas
Mean end;Fin medio
Mean start;Inicio medio
Median and bootstrap confidence interval;Mediana e IC remuestreo
Median and Nyblom confidence interval;Mediana e IC método Nyblom
Medium;Medio
Medium int. thr.;Umb. medio
Medium level;Nivel medio
Medium lvl;Nvl medio
Medium thr.;Umb. medio
Medium threshold;Umbral medio
MEM needs at least two seasons;MEM necesita al menos dos temporadas
MEM options;Opciones MEM
memapp is able to read text, excel, access and R;memapp es capaz de leer ficheros de texto, excel, access y R
Method for calculating other confidence intervals: duration, epidemic percentage, epidemic start, etc.;Método de cálculo de otros intervalos de confianza: duración, porcentaje epidémico, inicio medio, etc.
Method for calculating the average curve confidence intervals;Método de calculo de los IC de la curva media
Method for calculating the epidemic threshold;Método de cálculo de los umbrales epidémicos
Method for calculating the intensity threshold;Método de cálculo de los umbrales de intensidad
Method for timing;Método localización
Method to choose the optimum parameter;Método para elegir el parámetro óptimo
missing;ausentes
Mixed;Mixto
Model;Modelizar
Model data;Modelo
Model goodness indicators;Indicadores bondad modelo
Model goodness intensity;Intensidad bondad modelo
Model goodness summary;Resumen bondad modelo
Moving epidemics;Epidemias móviles
Multiplicative;Multiplicativo
Negative likehood;Verosimilitud -
Negative predictive value;Valor predictivo negativo
next;próxima
No data seasons;Temporadas sin datos
No transformation;Ninguna
Number of columns must be greater than 2;El número de columnas debe ser mayor que 2
Number of values taken each season for calculate thresholds. If -1, a total of 30 points are used (30/numberofseasons). If 0, all available points are used;Número de valores que se toman cada temporada para calcular los umbrales. Si es -1, se toman un total de 30 puntos (por temporada=30/número de temporadas). Si es 0, se toman todos los puntos
Observed (line);Datos (línea)
Observed (points);Datos (puntos)
Odd;Odd
Optimization;Optimización
Optimization method;Método optimización
Optimize;Optimizar
Optimum parameter;Parámetro óptimo
Original method;Original
Other;Otros
Other CI.;Otros IC
Palette used to generate color for epidemic and intensity thresholds;Paleta que se usa para generar los colores de los umbrales epidémicos y de intensidad
Palette used to generate color for intensity levels;Paleta que se usa para generar los colores de los niveles de intensidad
Palette used to generate the colors of the lines of the series graphs and other graphs with multiple lines;Paleta usada para generar los colores de las líneas del gráfico de series y de otros gráficos en los que intervienen varias líneas
Palette used to generate the colors of the points of pre, epidemic and post markers in timing graphs;Paleta usada para generar los colores de los puntos pre, pos y epidémicos en los gráficos de localización
Parameter;Parámetro
Parameter range;Rango parámetro
Peak;Máximo
Peak week;Semana del máximo
Percent agreement;Porcentaje de acuerdo
Point;Punto
Positive likehood;Verosimilitud +
Positive predictive value;Valor predictivo positivo
Post thr.;Umb. pos
Post-epidemic;Pos-epidemia
Post-epidemic (missing);Pos-epidemia (ausentes)
Post-epidemic thr.;Umb. pos-epidémico
Post-epidemic threshold;Umbral pos-epidémico
Pre-epidemic;Pre-epidemia
Pre-epidemic (missing);Pre-epidemia (ausentes)
Pre-epidemic thr.;Umb. pre-epidémico
Pre-epidemic threshold;Umbral pre-epidémico
Procedures;Procedimientos
Range of possible of values of the slope parameter used by goodness and optimize functions;Rango de valores que puede tomar el parámetro pendiente y que se usa en las funciones de bondad y optimización
Results;Resultados
Rtools not found;No se ha encontrado Rtools
Scheme;Esquema
Season;Temporada
Season you want to use for surveillance applying the MEM thresholds.<br>This season can be incomplete.<br> It is recommended not to use the surveillance season in the model selection;Temporada que quiere usar para la vigilancia, aplicando los umbrales calculados por el MEM.<br>La temporada no tiene por qué estar completa.<br>Se recomienda no incluir la temporada de vigilancia en la creación del modelo
Seasons;Temporadas
Seasons in the model;Temporadas en el modelo
Seasons palette;Paleta temporadas
Second derivative method;Segunda derivada
Select any number of seasons to be excluded from the model;Temporadas a excluir del modelo
Select any number of seasons to display series, seasons and timing graphs and to apply thresholds from the current model.<br>To delete a season click on it and press delete on your keyboard;Seleccione cualquier número de temporadas para mostrar los gráficos de series, temporadas y localización y para aplicar los umbrales del modelo actualmente seleccionado.<br>Para borrar una temporada de la selección, haga clic en ella y presione la tecla BORRAR
Select the transformation to apply to the original data;Seleccione qué transformación quiere realizar a los datos
Sensitivity;Sensibilidad
Sequential;Secuencial
Series;Serie
Show advanced features;Características avanzadas
Show advanced features of memapp;Muestra las opciones avanzadas de la aplicación
Slope method;Pendiente
Slope parameter;Parametro pendiente
Slope parameter used in fixed criterium method;Parámetro pendiente que se usa en el criterio fijo
Specificity;Especificidad
Stability;Estabilidad
Start;Inicio
Start & end;Inicio y fin
Start (lower limit);Inicio (límite inf.)
Start (upper limit);Inicio (límite sup.)
Submit issues;Notificar errores
Summary;Resumen
Summary, graphs, goodness and optimization of the MEM model;Resumen, gráficos, bondad y optimización del modelo MEM
Support;Ayuda
Surveillance;Vigilar
Surveillance tools;Herramientas para la vigilancia
Tails;Colas
Technical manual;Manual técnico
Text options;Opciones de texto
The Moving Epidemic Method Web Application;Aplicación Web del Método de la Epidemia Móvil
Thresholds;Umbrales
Thresholds palette;Paleta umbrales
Timing;Localización
Timing palette;Paleta localización
To;A
Total seasons;Total temporada
Transform;Transformación
Two waves (expected);Dos ondas (esperados)
Two waves (observed);Dos ondas (observados)
Upper interval;Intervalo superior
Upper limit;Límite superior
Validation;Validación
Value;Valor
Values per season;Datos temporada
Very high;Muy alto
Very high int. thr.;Umb. muy alto
Very high level;Nivel muy alto
Very high lvl;Nvl muy alto
Very high thr.;Umb. muy alto
Very high threshold;Umbral muy alto
Visualize;Visualizar
Visualize different sets of data with a MEM model;Visualice diferentes conjuntos de datos con distintos modelos
Week;Semana
Week na;Semana no
Week no;Semana nu
Week you want to create the surveillance graph for. It can be any week from the first week of the surveillance season to the last one that have data;Semana para que se quiere crear el gráfico de vigilancia. Puede ser cualquier semana desde la primera semana a la última en la que se tienen datos
Weekly data;Datos semanales
X-axis;Eje X
Y-axis;Eje Y
Youdens Index;Índice de Youden
Youden's Index;Índice de Youden
Zip not found;No se ha encontrado zip
y-axis starts at 0;Eje-Y comienza en 0
Force y-axis to start at 0 for all plots;Fuerza que el eje-y comience en el valor 0 en todos los gráficos
Process data;Procesar datos
Check this tickbox if you want to process input data, rearrange weeks acording to the first/last week selection and join seasons divided in the input dataset;Marca esta casilla si quieres comprobar la numeración de las semanas y temporadas, permitiendo generar un esquema de semanas válido y unir temporadas divididas en dos. No marcar si se quieren usar los datos originales tal y como vienen
Log;Registro
MAP curve;Curva PMA
Slope curve;Curva pendiente
Multi waves;Múltiples ondas
Show experimental features;Características experimentales
Show experimental features of memapp;Muestra las opciones experimentales de la aplicación
No file or dataset selected;Ningún fichero u hoja de datos seleccionados
Centering seasons;Centrado de las temporadas
Method for centering seasons to calculate the average curve;Método de centrado de las temporadas para calcular la curva media
Highest mean duration-weeks period;Mayor periodo de la longitud media en semanas
Highest 1-week period (peak);Mayor periodo de 1 semana (máximo)
Highest 2-weeks period;Mayor periodo de 2 semanas
Highest 3-weeks period;Mayor periodo de 3 semanas
Highest 4-weeks period;Mayor periodo de 4 semanas
Highest 5-weeks period;Mayor periodo de 5 semanas
Highest 6-weeks period;Mayor periodo de 6 semanas
Highest 7-weeks period;Mayor periodo de 7 semanas
Highest 8-weeks period;Mayor periodo de 8 semanas
Highest 9-weeks period;Mayor periodo de 9 semanas
Highest 10-weeks period;Mayor periodo de 10 semanas
Highest 11-weeks period;Mayor periodo de 11 semanas
Highest 12-weeks period;Mayor periodo de 12 semanas
Highest 13-weeks period;Mayor periodo de 13 semanas
Highest 14-weeks period;Mayor periodo de 14 semanas
Highest 15-weeks period;Mayor periodo de 15 semanas
Start centering period;Inicio periodo de centrado
End centering period;Fin periodo de centrado
Intensity thresholds;Umbrales de intensidad
No. waves;N. de ondas
Total number of waves of the whole dataset, set it to 0 if you want the program to autodetect it;Número total de ondas del periodo. Póngalo a 0 para dejar que el programa lo determine automáticamente
Separation;Separación
Minimum separation between two seasons to be considered different;Separación mínima entre dos temporadas para que sean consideradas distintas
Transformation;Transformación
Waves;Ondas
Select the number of waves in the original data;Seleccione el número de ondas por temporada en los datos originales
One wave;Una onda
One wave/season;Una onda/temporada
Two waves/season (observed);Dos ondas/temporada (observados)
Two waves/season (expected);Dos ondas/temporada (esperados)
Multiple waves/series;Multiples ondas/series
default;por defecto
Waves detection;Detección de ondas
Select the number of waves in the original data or the algorith to separate diferent waves;Select the number of waves in the original data or the algorith to separate diferent waves
Minimum proportion;Proporción mínima
Minimum proportion of one of the waves to be considered as different from the other one, otherwise, both waves are considered to be the same;Proporción minima que debe tener una de las ondas para que se considere independiente de la otra
Param. 1;Parám. 1
Multiple waves algorith parameter 1: when a rate is decided not to belong to an epidemic;Parámetro 1 del algoritmo de ondas múltiples: cuando se decide que una tasa no pertenece a la onda que se está detectando en cada iteración
Param. 2;Parám. 2
Multiple waves algorith parameter 2: when a set of rates is decided not to form an independent epidemic;Parámetro 2 del algoritmo de ondas múltiples: cuando una agrupación de ondas no tiene el suficiente volumen para poderse considerar una onda independiente
Yes;Sí
No;No
