Original;Translated
Palette used to generate color for epidemic and intensity thresholds;Palette utilisée pour générer la couleur des seuils d’épidémie et d’intensité
Palette used to generate color for intensity levels;Palette utilisée pour générer la couleur des niveaux d’intensité
Palette used to generate the colors of the lines of the series graphs and other graphs with multiple lines;Palette utilisée pour générer les couleurs des lignes des graphiques des série et d’autres graphiques avec plusieurs lignes
Palette used to generate the colors of the points of pre, epidemic and post markers in timing graphs;Palette utilisée pour générer les couleurs des points des marqueurs pre et post -épidemiques  dans les graphiques temporels
Parameter;Paramètre
Parameter range;Plage de paramètres
Peak;Pic
Peak week;Semaine du pic
Percent agreement;Pourcentage de concordance
Point;Temps t
Positive likehood;Vraisemblance positive
Positive predictive value;Valeur prédictive positive
Post thr.;Post seuil
Post-epidemic;Post-épidémique
Post-epidemic (missing);Post-épidémique (manquant)
Post-epidemic thr.;Seuil post-épidémique
Post-epidemic threshold;Seuil post-épidémique
Pre-epidemic;Pré-épidémie
Pre-epidemic (missing);Pré-épidémie (manquant)
Pre-epidemic thr.;Seuil pré-épidémique
Pre-epidemic threshold;Seuil pré-épidémique
Procedures;Procédures
Range of possible of values of the slope parameter used by goodness and optimize functions;Plage de valeurs possibles du paramètre de pente utilisé par les fonctions d’ajustement et d’optimisation
Results;Résultats
Rtools not found;Rtools non trouvé
Scheme;Schéma
Season;Saison
Season you want to use for surveillance applying the MEM thresholds.<br>This season can be incomplete.<br> It is recommended not to use the surveillance season in the model selection;Saison que vous souhaitez utiliser pour la surveillance en appliquant les seuils MEM.<br>Cette saison peut être incomplète.<br> Il est recommandé de ne pas utiliser cette saison de surveillance dans la sélection du modèle
Seasons;Saisons
Seasons in the model;Saisons dans le modèle
Seasons palette;Palette des saisons
Second derivative method;Deuxième méthode des dérivées
Select any number of seasons to be excluded from the model;"Sélectionnez un nombre de saisons à exclure du modèle"""
Select any number of seasons to display series, seasons and timing graphs and to apply thresholds from the current model.<br>To delete a season click on it and press delete on your keyboard;Sélectionnez n’importe quel nombre de saisons pour afficher les graphiques des séries, des saisons et des timing, et pour appliquer des seuils à partir du modèle actue.<br>Pour supprimer une saison, cliquez dessus et appuyez sur supprimer sur votre clavier
Select the transformation to apply to the original data;Sélectionnez la transformation à appliquer aux données d’origine
Sensitivity;Sensibilité
Sequential;Séquentiel
Series;Séries
Show advanced features;Afficher les fonctionnalités avancées
Show advanced features of memapp;Afficher les fonctionnalités avancées
Slope method;Méthode de pente
Slope parameter;Paramètre de pente
Slope parameter used in fixed criterium method;"Paramètre de pente utilisé dans la méthode du critère fixe"""
Specificity;Specificité
Stability;Stabilité
Start;Début
Start & end;Début & fin
Start (lower limit);Début (lower limite inférieure)
Start (upper limit);Début (limite supérieure)
Submit issues;Envoyer les problèmes
Summary;Résumé
Summary, graphs, goodness and optimization of the MEM model;Résumé, graphiques, ajustement et optimisation du modèle MEM
Support;Support
Surveillance;Surveillance
Surveillance tools;Outils de surveillance
Tails;Queues
Technical manual;Manuel technique
Text options;Options de texte
The Moving Epidemic Method Web Application;L’application Web de la Méthode des Epidémies Mobiles
Thresholds;Seuils
Thresholds palette;Palette de seuils
Timing;Temporalité
Timing palette;Palette des temporalités
To;A
Total seasons;Total des saisons
Transform;Transforme
Two waves (expected);Deux vagues (attendues)
Two waves (observed);Deux vagues (observées)
Upper interval;Intervalle supérieur
Upper limit;Limite supérieure
Validation;Validation
Value;Valeur
Values per season;Valeurs par saison
Very high;Très haut 
Very high int. thr.;Seuil int. très haut   
Very high level;Très haut niveau
Very high lvl;Très haut niv.
Very high thr.;Seuil très élevé
Very high threshold;Seuil très élevé
Visualize;Visualise
Visualize different sets of data with a MEM model;Visualisez différents ensembles de données avec le modèle MEM
Week;Semaine
Week na;Semaine na
Week no;Semaine no
Week you want to create the surveillance graph for. It can be any week from the first week of the surveillance season to the last one that have data;Semaine pour laquelle vous voulez créer le graphique de surveillance . Cela peut être n’importe quelle semaine de la première semaine de la saison de surveillance à la dernière qui a des données
Weekly data;Données hebdomadaires
X-axis;Axe des X
Y-axis;Axe des Y
Youdens Index;Index de Youden
Youden's Index;Index de Youden
Zip not found;Zip non trouvé
y-axis starts at 0;L’axe y commence à 0
Force y-axis to start at 0 for all plots;Forcer l’axe des y à commencer à 0 pour tous les graphiques
Process data;Données traitées
Check this tickbox if you want to process input data, rearrange weeks acording to the first/last week selection and join seasons divided in the input dataset;Cochez cette case si vous souhaitez traiter les données d’entrée, réorganiser les semaines selon la sélection de la première / dernière semaine et réunir les saisons divisées dans l’ensemble de données entrées
Log;Log
MAP curve;MAP curve
Slope curve;Slope curve
Multi waves;Multi vagues
Show experimental features;Show experimental features
Show experimental features of memapp;Show experimental features of memapp
No file or dataset selected;No file or dataset selected
Centering seasons;Centering seasons
Method for centering seasons to calculate the average curve;Method for centering seasons to calculate the average curve
Highest mean duration-weeks period;Highest mean duration-weeks period
Highest 1-week period (peak);Highest 1-week period (peak)
Highest 2-weeks period;Highest 2-weeks period
Highest 3-weeks period;Highest 3-weeks period
Highest 4-weeks period;Highest 4-weeks period
Highest 5-weeks period;Highest 5-weeks period
Highest 6-weeks period;Highest 6-weeks period
Highest 7-weeks period;Highest 7-weeks period
Highest 8-weeks period;Highest 8-weeks period
Highest 9-weeks period;Highest 9-weeks period
Highest 10-weeks period;Highest 10-weeks period
Highest 11-weeks period;Highest 11-weeks period
Highest 12-weeks period;Highest 12-weeks period
Highest 13-weeks period;Highest 13-weeks period
Highest 14-weeks period;Highest 14-weeks period
Highest 15-weeks period;Highest 15-weeks period
Start centering period;Start centering period
End centering period;End centering period
Intensity thresholds;Seuils d’intensité
No. waves;N. vagues
Total number of waves of the whole dataset, set it to 0 if you want the program to autodetect it;Total number of waves of the whole dataset, set it to 0 if you want the program to autodetect it
Separation;Separation
Minimum separation between two seasons to be considered different;Minimum separation between two seasons to be considered different
Transformation;Transformation
Waves;Vagues
Select the number of waves in the original data;Select the number of waves in the original data
One wave;Un vague
